"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Apr-2021","EQ","1.30","1.30","1.20","1.30","1.20","1.20","1.27","1.85","1.00","3,09,587","3,91,872.85","205"
"09-Apr-2021","EQ","1.30","1.30","1.25","1.25","1.25","1.30","1.28","1.85","1.00","75,689","96,850.95","280"
"08-Apr-2021","EQ","1.25","1.30","1.20","1.20","1.25","1.25","1.24","1.85","1.00","2,71,503","3,37,060.00","283"
"07-Apr-2021","EQ","1.25","1.30","1.20","1.25","1.20","1.20","1.23","1.85","1.00","6,06,153","7,47,120.65","244"
"06-Apr-2021","EQ","1.30","1.30","1.25","1.30","1.25","1.25","1.26","1.85","1.00","1,54,226","1,94,753.50","234"
"05-Apr-2021","EQ","1.25","1.30","1.25","1.25","1.30","1.30","1.27","1.85","1.00","1,28,835","1,63,463.90","131"
"01-Apr-2021","EQ","1.25","1.25","1.20","1.20","1.25","1.25","1.25","1.85","1.00","1,42,607","1,78,185.95","45"
"31-Mar-2021","EQ","1.25","1.25","1.20","1.25","1.20","1.20","1.23","1.85","1.00","2,93,217","3,60,753.70","275"
"30-Mar-2021","EQ","1.30","1.30","1.25","1.30","1.25","1.25","1.26","1.85","1.00","1,77,844","2,23,640.75","173"
"26-Mar-2021","EQ","1.30","1.35","1.25","1.30","1.30","1.30","1.28","1.85","1.00","3,86,501","4,95,893.25","208"
"25-Mar-2021","EQ","1.30","1.35","1.25","1.30","1.30","1.30","1.31","1.85","1.00","7,37,519","9,62,743.30","187"
"24-Mar-2021","EQ","1.35","1.40","1.30","1.35","1.30","1.30","1.32","1.85","1.00","4,40,367","5,80,566.75","153"
"23-Mar-2021","EQ","1.30","1.35","1.30","1.30","1.35","1.35","1.33","1.85","1.00","2,12,414","2,82,160.70","187"
"22-Mar-2021","EQ","1.35","1.35","1.30","1.35","1.30","1.30","1.31","1.85","1.00","2,27,862","2,99,015.60","371"
"19-Mar-2021","EQ","1.45","1.45","1.35","1.40","1.35","1.35","1.39","1.85","1.00","1,47,514","2,05,379.70","334"
"18-Mar-2021","EQ","1.40","1.40","1.40","1.35","1.40","1.40","1.40","1.85","1.00","1,95,857","2,74,199.80","44"
"17-Mar-2021","EQ","1.35","1.35","1.35","1.30","1.35","1.35","1.35","1.85","1.00","1,14,346","1,54,367.10","50"
"16-Mar-2021","EQ","1.30","1.30","1.25","1.25","1.30","1.30","1.29","1.85","1.00","4,07,990","5,27,886.55","166"
"15-Mar-2021","EQ","1.30","1.30","1.20","1.25","1.30","1.25","1.25","1.85","1.00","2,22,027","2,78,518.10","286"
"12-Mar-2021","EQ","1.25","1.30","1.25","1.25","1.30","1.25","1.26","1.85","1.00","96,941","1,22,523.55","229"
"10-Mar-2021","EQ","1.30","1.30","1.25","1.30","1.25","1.25","1.26","1.85","1.00","3,28,963","4,14,497.35","289"
"09-Mar-2021","EQ","1.30","1.30","1.25","1.30","1.25","1.30","1.27","1.85","1.00","3,21,586","4,09,188.25","391"
"08-Mar-2021","EQ","1.25","1.35","1.25","1.30","1.30","1.30","1.29","1.85","1.00","3,70,017","4,75,816.65","328"
"05-Mar-2021","EQ","1.35","1.40","1.30","1.35","1.30","1.30","1.31","1.85","1.00","6,81,165","8,94,160.25","244"
"04-Mar-2021","EQ","1.40","1.40","1.35","1.40","1.35","1.35","1.37","1.85","1.00","2,14,004","2,92,546.90","161"
"03-Mar-2021","EQ","1.35","1.40","1.30","1.35","1.40","1.40","1.37","1.85","1.00","3,20,937","4,38,579.20","109"
"02-Mar-2021","EQ","1.35","1.35","1.30","1.35","1.30","1.35","1.32","1.85","1.00","1,66,453","2,20,085.05","166"
"01-Mar-2021","EQ","1.35","1.35","1.30","1.30","1.35","1.35","1.33","1.85","1.00","87,606","1,16,504.40","133"
"26-Feb-2021","EQ","1.35","1.35","1.30","1.35","1.35","1.30","1.33","1.85","1.00","1,12,345","1,49,562.15","210"
"25-Feb-2021","EQ","1.40","1.40","1.30","1.35","1.35","1.35","1.35","1.85","1.00","3,85,690","5,21,923.20","249"
"24-Feb-2021","EQ","1.35","1.40","1.30","1.35","1.40","1.35","1.35","1.85","1.00","3,24,721","4,39,641.30","108"
"23-Feb-2021","EQ","1.30","1.35","1.30","1.30","1.35","1.35","1.32","1.85","1.00","1,40,776","1,85,719.35","162"
"22-Feb-2021","EQ","1.30","1.35","1.30","1.30","1.35","1.30","1.32","1.85","1.00","2,12,016","2,80,157.55","223"
"19-Feb-2021","EQ","1.35","1.40","1.30","1.35","1.30","1.30","1.32","1.85","1.00","4,18,959","5,53,823.65","269"
"18-Feb-2021","EQ","1.40","1.40","1.35","1.40","1.35","1.35","1.37","1.85","1.00","1,39,965","1,91,899.90","189"
"17-Feb-2021","EQ","1.45","1.45","1.40","1.45","1.40","1.40","1.41","1.85","1.00","2,85,034","4,01,811.35","162"
"16-Feb-2021","EQ","1.50","1.50","1.45","1.50","1.45","1.45","1.45","1.85","1.00","3,08,810","4,48,756.10","97"
"15-Feb-2021","EQ","1.50","1.50","1.45","1.45","1.50","1.50","1.49","1.85","1.00","2,95,435","4,40,074.25","204"
"12-Feb-2021","EQ","1.45","1.45","1.40","1.40","1.45","1.45","1.44","1.85","1.00","3,14,761","4,53,037.80","190"
"11-Feb-2021","EQ","1.30","1.40","1.30","1.35","1.40","1.40","1.37","1.85","1.00","3,02,679","4,15,943.55","100"
"10-Feb-2021","EQ","1.30","1.35","1.30","1.35","1.30","1.35","1.31","1.85","1.00","1,80,816","2,37,167.10","228"
"09-Feb-2021","EQ","1.45","1.45","1.35","1.40","1.35","1.35","1.36","1.85","1.00","4,31,571","5,85,040.30","289"
"08-Feb-2021","EQ","1.50","1.50","1.40","1.45","1.40","1.40","1.45","1.85","1.00","4,52,146","6,57,173.25","292"
"05-Feb-2021","EQ","1.50","1.50","1.45","1.50","1.45","1.45","1.46","1.95","1.00","4,58,862","6,67,852.85","324"
"04-Feb-2021","EQ","1.50","1.50","1.45","1.50","1.50","1.50","1.48","1.95","1.00","3,24,705","4,81,418.25","177"
"03-Feb-2021","EQ","1.45","1.50","1.40","1.45","1.50","1.50","1.47","1.95","1.00","3,00,504","4,41,735.90","285"
"02-Feb-2021","EQ","1.55","1.55","1.45","1.50","1.45","1.45","1.47","1.95","1.00","6,85,537","10,08,043.90","292"
"01-Feb-2021","EQ","1.50","1.55","1.50","1.50","1.55","1.50","1.51","1.95","1.00","1,24,515","1,88,249.80","198"
"29-Jan-2021","EQ","1.60","1.60","1.50","1.55","1.50","1.50","1.52","2.05","1.00","3,84,872","5,83,557.60","196"
"28-Jan-2021","EQ","1.50","1.55","1.45","1.50","1.55","1.55","1.53","2.05","1.00","1,75,508","2,68,570.65","166"
"27-Jan-2021","EQ","1.55","1.55","1.50","1.55","1.50","1.50","1.51","2.05","1.00","1,61,312","2,43,473.05","243"
"25-Jan-2021","EQ","1.60","1.60","1.55","1.60","1.55","1.55","1.56","2.05","1.00","1,07,301","1,66,885.00","231"
"22-Jan-2021","EQ","1.60","1.65","1.55","1.60","1.60","1.60","1.61","2.05","1.00","4,53,765","7,32,586.10","220"
"21-Jan-2021","EQ","1.55","1.60","1.50","1.55","1.60","1.60","1.52","2.05","1.00","5,65,389","8,58,494.60","246"
"20-Jan-2021","EQ","1.50","1.55","1.50","1.55","1.55","1.55","1.53","2.05","1.00","1,60,721","2,45,380.15","184"
"19-Jan-2021","EQ","1.55","1.60","1.55","1.60","1.55","1.55","1.56","2.05","1.00","3,17,434","4,94,018.40","207"
"18-Jan-2021","EQ","1.65","1.65","1.60","1.65","1.60","1.60","1.60","2.05","1.00","1,33,000","2,13,070.65","104"
"15-Jan-2021","EQ","1.70","1.70","1.65","1.70","1.65","1.65","1.65","2.05","1.00","3,27,035","5,39,766.30","111"
"14-Jan-2021","EQ","1.80","1.80","1.70","1.75","1.75","1.70","1.75","2.05","1.00","4,89,981","8,56,523.20","249"
"13-Jan-2021","EQ","1.70","1.75","1.65","1.70","1.75","1.75","1.73","2.05","1.00","5,86,637","10,16,804.00","315"
"12-Jan-2021","EQ","1.65","1.70","1.60","1.65","1.65","1.70","1.67","2.05","1.00","1,30,263","2,18,050.50","157"
"11-Jan-2021","EQ","1.75","1.75","1.65","1.70","1.65","1.65","1.69","2.05","1.00","5,52,505","9,32,020.45","295"
"08-Jan-2021","EQ","1.75","1.75","1.65","1.70","1.65","1.70","1.72","2.05","1.00","10,02,927","17,24,856.50","431"
"07-Jan-2021","EQ","1.70","1.70","1.70","1.65","1.70","1.70","1.70","2.05","1.00","95,258","1,61,938.60","38"
"06-Jan-2021","EQ","1.65","1.65","1.65","1.60","1.65","1.65","1.65","2.05","1.00","85,538","1,41,137.70","40"
"05-Jan-2021","EQ","1.60","1.60","1.60","1.55","1.60","1.60","1.60","2.05","1.00","50,698","81,116.80","43"
"04-Jan-2021","EQ","1.55","1.55","1.55","1.50","1.55","1.55","1.55","2.05","1.00","39,207","60,770.85","41"
"01-Jan-2021","EQ","1.50","1.50","1.50","1.45","1.50","1.50","1.50","2.05","1.00","1,20,000","1,80,000.00","31"
"31-Dec-2020","EQ","1.45","1.45","1.45","1.40","1.45","1.45","1.45","2.05","1.00","92,296","1,33,829.20","56"
"30-Dec-2020","EQ","1.40","1.45","1.35","1.40","1.45","1.40","1.42","2.05","1.00","9,89,910","14,09,657.85","484"
"29-Dec-2020","EQ","1.45","1.45","1.40","1.45","1.40","1.40","1.41","2.05","1.00","1,71,469","2,42,217.15","140"
"28-Dec-2020","EQ","1.45","1.45","1.40","1.45","1.40","1.45","1.43","2.05","1.00","1,00,855","1,43,905.85","161"
"24-Dec-2020","EQ","1.50","1.50","1.40","1.45","1.40","1.45","1.46","2.05","1.00","3,37,693","4,93,231.40","234"
"23-Dec-2020","EQ","1.35","1.45","1.35","1.40","1.45","1.45","1.40","2.05","1.00","1,76,671","2,47,996.20","206"
"22-Dec-2020","EQ","1.45","1.45","1.40","1.45","1.40","1.40","1.40","2.05","1.00","1,10,131","1,54,344.35","112"
"21-Dec-2020","EQ","1.50","1.50","1.45","1.50","1.45","1.45","1.47","2.05","1.00","2,07,758","3,04,886.60","240"
"18-Dec-2020","EQ","1.55","1.55","1.50","1.55","1.50","1.50","1.52","2.05","1.00","97,444","1,47,980.50","230"
"17-Dec-2020","EQ","1.50","1.55","1.45","1.50","1.55","1.55","1.52","2.05","1.00","2,82,511","4,28,586.80","282"
