"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-May-2021","EQ","1.45","1.55","1.40","1.45","1.55","1.55","1.51","1.85","1.00","14,14,829","21,33,301.10","549"
"20-May-2021","EQ","1.45","1.45","1.35","1.40","1.45","1.45","1.41","1.85","1.00","8,58,147","12,10,463.15","307"
"19-May-2021","EQ","1.45","1.45","1.40","1.35","1.45","1.40","1.44","1.85","1.00","20,29,750","29,29,649.45","584"
"18-May-2021","EQ","1.35","1.35","1.35","1.25","1.35","1.35","1.35","1.85","1.00","72,821","98,308.35","44"
"17-May-2021","EQ","1.15","1.25","1.15","1.15","1.25","1.25","1.23","1.85","1.00","9,13,619","11,23,218.20","169"
"14-May-2021","EQ","1.20","1.20","1.10","1.20","1.20","1.15","1.17","1.85","1.00","14,90,478","17,47,137.55","584"
"12-May-2021","EQ","1.20","1.20","1.15","1.15","1.20","1.20","1.17","1.85","1.00","2,29,408","2,67,402.50","261"
"11-May-2021","EQ","1.15","1.20","1.15","1.15","1.20","1.15","1.17","1.85","1.00","2,48,188","2,89,887.45","240"
"10-May-2021","EQ","1.20","1.20","1.15","1.15","1.20","1.15","1.18","1.85","1.00","1,49,513","1,76,876.50","206"
"07-May-2021","EQ","1.20","1.20","1.10","1.20","1.20","1.15","1.15","1.85","1.00","7,07,697","8,17,033.45","221"
"06-May-2021","EQ","1.20","1.20","1.15","1.15","1.20","1.20","1.17","1.85","1.00","1,21,476","1,42,470.00","178"
"05-May-2021","EQ","1.20","1.20","1.15","1.15","1.20","1.15","1.18","1.85","1.00","1,62,261","1,90,907.45","187"
"04-May-2021","EQ","1.20","1.20","1.15","1.20","1.15","1.15","1.17","1.85","1.00","1,12,937","1,32,478.85","84"
"03-May-2021","EQ","1.20","1.20","1.10","1.20","1.20","1.20","1.15","1.85","1.00","3,91,627","4,51,204.10","197"
"30-Apr-2021","EQ","1.20","1.20","1.15","1.20","1.20","1.20","1.17","1.85","1.00","1,73,403","2,02,663.45","195"
"29-Apr-2021","EQ","1.15","1.20","1.15","1.20","1.20","1.20","1.18","1.85","1.00","1,38,803","1,64,076.25","199"
"28-Apr-2021","EQ","1.20","1.20","1.15","1.15","1.20","1.20","1.18","1.85","1.00","1,95,500","2,30,590.30","125"
"27-Apr-2021","EQ","1.20","1.25","1.15","1.20","1.20","1.15","1.18","1.85","1.00","1,80,880","2,13,829.00","166"
"26-Apr-2021","EQ","1.15","1.25","1.15","1.20","1.20","1.20","1.20","1.85","1.00","4,54,736","5,45,484.75","196"
"23-Apr-2021","EQ","1.20","1.20","1.15","1.20","1.20","1.20","1.18","1.85","1.00","99,248","1,16,616.40","138"
"22-Apr-2021","EQ","1.20","1.20","1.15","1.20","1.20","1.20","1.16","1.85","1.00","1,99,880","2,32,545.60","283"
"20-Apr-2021","EQ","1.20","1.25","1.15","1.20","1.20","1.20","1.18","1.85","1.00","1,67,633","1,98,274.10","414"
"19-Apr-2021","EQ","1.20","1.25","1.15","1.25","1.20","1.20","1.18","1.85","1.00","5,84,204","6,89,373.00","287"
"16-Apr-2021","EQ","1.25","1.25","1.20","1.20","1.25","1.25","1.24","1.85","1.00","1,88,056","2,33,145.90","322"
"15-Apr-2021","EQ","1.25","1.25","1.20","1.25","1.25","1.20","1.22","1.85","1.00","52,256","63,649.85","181"
"13-Apr-2021","EQ","1.25","1.25","1.20","1.20","1.25","1.25","1.23","1.85","1.00","1,09,804","1,35,454.45","352"
"12-Apr-2021","EQ","1.30","1.30","1.20","1.30","1.20","1.20","1.27","1.85","1.00","3,09,587","3,91,872.85","205"
