"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Apr-2024","EQ","3.35","3.70","3.25","3.30","3.45","3.45","3.49","4.20","2.60","5,07,19,912","17,70,42,028.45","8,335"
"10-Apr-2024","EQ","3.05","3.50","2.95","3.05","3.30","3.30","3.29","4.20","2.60","2,34,26,066","7,71,18,675.80","4,278"
"09-Apr-2024","EQ","3.10","3.15","3.00","3.15","3.05","3.05","3.05","4.20","2.60","26,20,000","79,92,019.85","1,029"
"08-Apr-2024","EQ","3.20","3.25","3.10","3.20","3.10","3.15","3.15","4.20","2.60","13,29,265","41,88,014.20","941"
"05-Apr-2024","EQ","3.25","3.25","3.15","3.20","3.15","3.20","3.20","4.20","2.60","30,98,448","99,23,384.00","1,170"
"04-Apr-2024","EQ","3.10","3.35","3.00","3.05","3.25","3.20","3.17","4.20","2.60","1,06,98,776","3,39,49,009.05","2,066"
"03-Apr-2024","EQ","3.05","3.10","3.00","3.05","3.10","3.05","3.06","4.20","2.60","18,85,257","57,64,243.15","1,356"
"02-Apr-2024","EQ","2.90","3.10","2.85","2.85","3.05","3.05","3.00","4.20","2.60","40,03,823","1,20,22,645.15","1,613"
"01-Apr-2024","EQ","2.85","2.95","2.75","2.80","2.85","2.85","2.85","4.20","2.60","48,75,631","1,38,97,624.75","1,244"
"28-Mar-2024","EQ","2.80","2.85","2.80","2.80","2.80","2.80","2.81","4.20","2.60","16,63,987","46,74,410.65","804"
"27-Mar-2024","EQ","2.80","2.90","2.75","2.80","2.85","2.80","2.82","4.20","2.60","33,60,033","94,72,603.35","1,125"
"26-Mar-2024","EQ","2.90","2.90","2.75","2.85","2.80","2.80","2.82","4.20","2.60","21,99,809","62,01,510.10","1,105"
"22-Mar-2024","EQ","2.90","2.90","2.80","2.85","2.90","2.85","2.85","4.20","2.60","33,18,971","94,62,812.80","1,092"
"21-Mar-2024","EQ","2.90","3.00","2.85","2.80","2.90","2.85","2.89","4.20","2.60","21,83,951","63,18,037.35","1,017"
"20-Mar-2024","EQ","2.80","2.85","2.75","2.80","2.80","2.80","2.80","4.20","2.60","15,66,569","43,88,832.50","1,022"
"19-Mar-2024","EQ","2.90","2.90","2.80","2.85","2.85","2.80","2.82","4.20","2.60","23,59,690","66,65,340.35","1,233"
"18-Mar-2024","EQ","3.05","3.05","2.85","3.05","2.90","2.85","2.91","4.20","2.60","55,66,126","1,62,22,180.75","2,076"
"15-Mar-2024","EQ","2.95","3.15","2.90","2.95","3.00","3.05","3.07","4.20","2.60","50,11,933","1,53,72,896.40","2,045"
"14-Mar-2024","EQ","3.00","3.10","2.85","2.95","2.95","2.95","2.98","4.20","2.60","54,91,351","1,63,40,140.65","2,133"
"13-Mar-2024","EQ","3.25","3.30","2.95","3.20","2.95","2.95","3.10","4.20","2.60","92,38,195","2,86,44,527.95","2,697"
"12-Mar-2024","EQ","3.00","3.35","2.90","2.95","3.25","3.20","3.15","4.20","2.60","1,49,34,341","4,71,09,846.45","3,261"
"11-Mar-2024","EQ","3.15","3.15","2.90","3.05","3.00","2.95","3.00","4.20","2.60","44,42,172","1,33,46,771.60","2,432"
"07-Mar-2024","EQ","2.80","3.15","2.70","2.70","3.00","3.05","3.01","4.20","2.60","99,47,720","2,99,32,789.80","3,147"
"06-Mar-2024","EQ","2.90","2.95","2.60","2.90","2.80","2.70","2.72","4.20","2.60","68,16,599","1,85,13,138.55","2,824"
"05-Mar-2024","EQ","3.10","3.10","2.90","3.05","3.00","2.90","2.97","4.20","2.70","43,42,350","1,28,89,154.60","2,012"
"04-Mar-2024","EQ","3.15","3.20","3.05","3.10","3.05","3.05","3.12","4.20","2.70","37,61,396","1,17,17,865.65","1,466"
"02-Mar-2024","EQ","3.30","3.30","3.10","3.25","3.10","3.10","3.18","4.20","2.70","31,46,822","99,94,302.75","881"
